name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Stephen Curry","Golden State Warriors",2017-12-04,2017,3975,1610612744,400975097,2,5,04,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",7,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-04,2017,3975,1610612744,400975312,4,0,41,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Houston Rockets",-7,21,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-12-03,2017,3975,1610612744,400975086,1,11,22,0,"Cutting Layup Shot","2PT Field Goal",1,"Miami Heat",-16,10,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-03-02,2017,3975,1610612744,400975674,1,11,21,1,"Cutting Layup Shot","2PT Field Goal",1,"Atlanta Hawks",-8,7,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-11-08,2017,3975,1610612744,400974914,2,4,48,0,"Cutting Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",-5,8,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-13,2017,3975,1610612744,400975377,4,5,11,1,"Cutting Layup Shot","2PT Field Goal",2,"Toronto Raptors",-8,20,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-27,2017,3975,1610612744,400975474,3,11,10,1,"Cutting Layup Shot","2PT Field Goal",1,"Boston Celtics",5,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-12,2017,3975,1610612744,400975592,2,5,43,1,"Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",6,0,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-10-23,2017,3975,1610612744,400974796,2,2,58,1,"Cutting Layup Shot","2PT Field Goal",3,"Dallas Mavericks",32,19,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-11-29,2017,3975,1610612744,400975063,1,1,08,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-1,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-04,2017,3975,1610612744,400975312,3,11,04,1,"Cutting Layup Shot","2PT Field Goal",2,"Houston Rockets",-19,20,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-12-03,2017,3975,1610612744,400975086,2,0,11,1,"Cutting Layup Shot","2PT Field Goal",0,"Miami Heat",-7,6,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-22,2017,3975,1610612744,400975618,3,11,47,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",8,13,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-11-16,2017,3975,1610612744,400974966,4,6,38,1,"Cutting Layup Shot","2PT Field Goal",0,"Boston Celtics",4,5,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-11-24,2017,3975,1610612744,400975027,1,10,35,1,"Cutting Layup Shot","2PT Field Goal",2,"Chicago Bulls",-19,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-03,2017,3975,1610612744,400975528,3,1,45,0,"Cutting Layup Shot","2PT Field Goal",3,"Denver Nuggets",-25,28,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-26,2017,3975,1610612744,400975646,3,5,39,1,"Cutting Layup Shot","2PT Field Goal",3,"New York Knicks",-3,34,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-03-02,2017,3975,1610612744,400975674,1,2,33,0,"Cutting Layup Shot","2PT Field Goal",1,"Atlanta Hawks",0,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-11-19,2017,3975,1610612744,400974987,3,11,45,1,"Cutting Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-19,7,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-17,2017,3975,1610612744,400975403,4,4,41,0,"Cutting Layup Shot","2PT Field Goal",2,"Chicago Bulls",-9,26,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-10-27,2017,3975,1610612744,400974826,1,3,31,1,"Cutting Layup Shot","2PT Field Goal",2,"Washington Wizards",-5,25,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-01-04,2017,3975,1610612744,400975312,1,5,54,1,"Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",-13,8,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-10,2017,3975,1610612744,400975577,2,4,48,1,"Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-5,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-02-24,2017,3975,1610612744,400975633,3,7,35,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Oklahoma City Thunder",2,36,0,0.00,,0.00,0.00
